trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
TL-1338,00:00:00,00:00:00,TL-406,10,,0,0,1
TL-1339,00:00:00,00:00:00,TL-406,10,,0,0,1
TL-1340,00:00:00,00:00:00,TL-406,10,,0,0,1
TL-1341,00:00:00,00:00:00,TL-406,10,,0,0,1
TL-1342,00:00:00,00:00:00,TL-406,10,,0,0,1
TL-1343,00:00:00,00:00:00,TL-108,10,,0,0,1
TL-1344,00:00:00,00:00:00,TL-108,10,,0,0,1
TL-1345,00:00:00,00:00:00,TL-108,10,,0,0,1
TL-1389,00:00:00,00:03:00,TL-556,160,,0,0,1
TL-1389,00:03:49,00:03:49,TL-557,170,,0,0,1
TL-1389,00:04:24,00:04:24,TL-558,180,,0,0,1
TL-1389,00:05:03,00:05:03,TL-560,190,,0,0,1
TL-1389,00:05:47,00:05:47,TL-559,200,,0,0,1
TL-1389,00:06:35,00:06:35,TL-561,210,,0,0,1
TL-1429,00:00:00,00:00:10,TL-720,1,,0,0,1
TL-1429,00:00:55,00:01:05,TL-721,2,,0,0,1
TL-1429,00:01:19,00:01:29,TL-722,3,,0,0,1
TL-1429,00:01:59,00:02:09,TL-723,4,,0,0,1
TL-1429,00:02:39,00:02:49,TL-724,5,,0,0,1
TL-1429,00:05:24,00:05:34,TL-725,6,,0,0,1
TL-1429,00:05:59,00:06:09,TL-726,7,,0,0,1
TL-1429,00:10:54,00:11:04,TL-727,8,,0,0,1
TL-1429,00:11:19,00:11:29,TL-728,10,,0,0,1
TL-1429,00:12:14,00:12:24,TL-729,11,,0,0,1
TL-1430,00:00:00,00:00:10,TL-720,1,,0,0,1
TL-1430,00:00:55,00:01:05,TL-721,2,,0,0,1
TL-1430,00:01:19,00:01:29,TL-722,3,,0,0,1
TL-1430,00:01:59,00:02:09,TL-723,4,,0,0,1
TL-1430,00:02:39,00:02:49,TL-724,5,,0,0,1
TL-1430,00:05:24,00:05:34,TL-725,6,,0,0,1
TL-1430,00:05:59,00:06:09,TL-726,7,,0,0,1
TL-1430,00:10:54,00:11:04,TL-727,8,,0,0,1
