stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
TL-108,,John Paul Jones Arena @ Garage,,38.0467440264,-78.5076160767,,0,
TL-406,,John Paul Jones Arena @ Garage,,38.0467440264,-78.5076160767,,0,
TL-498,,Arlington Blvd @ Barracks Rd Shopping Ctr,,38.0487960000,-78.5052190000,,0,
TL-499,,Arlington Blvd @ Jeffersonian Apts,,38.0508014300,-78.5080894110,,0,
TL-500,,Massie Rd @ Law School,,38.0520250000,-78.5101840000,,0,
TL-501,,Massie Rd @ North Grounds Rec (Southbound),,38.0507535000,-78.5125531000,,0,
TL-502,,Massie Rd @ Faulkner Apts (Southbound),,38.0480288668,-78.5122346994,,0,
TL-503,,Massie Rd @ JPJ South Lot,,38.0458330000,-78.5086480000,,0,
TL-504,,Emmet St @ Goodwin Bridge (Southbound),,38.0432790000,-78.5055730000,,0,
TL-505,,Emmet St @ Emmet / Ivy Garage (Southbound),,38.0411390000,-78.5063610000,,0,
TL-506,,Ivy Rd @ Emmet / Ivy Garage (EIG),,38.0414010000,-78.5092240000,,0,
TL-507,,Alderman Rd @ O-Hill Dining Hall,,38.0339370000,-78.5142400000,,0,
TL-508,,Whitehead Rd @ Scott Stadium,,38.0293050000,-78.5164140000,,0,
TL-509,,Stadium Rd @ Stadium Garage,,38.0300414000,-78.5122195000,,0,
TL-510,,Stadium Rd @ Alderman Rd,,38.0287197265,-78.5163863250,,0,
TL-511,,Alderman Rd @ Gooch/Dillard (Northbound),,38.0293050000,-79.5163880000,,0,
TL-512,,Alderman Rd @ AFC,,38.0339340000,-78.5141170000,,0,
TL-513,,Massie Rd @ Faulkner Apts (Northbound),,38.0481340000,-78.5120500000,,0,
TL-514,,Massie Rd @ North Grounds Rec (Northbound),,38.0506433000,-78.5124984000,,0,
TL-515,,Massie Rd @ Copeley Apts,,38.0518970000,-78.5097970000,,0,
TL-516,,Arlington Blvd @ Millmont St,,38.0493720000,-78.5063360000,,0,
TL-556,011,Arlington Blvd @ Barracks Rd Shopping Ctr,,38.0487960000,-78.5052190000,,0,
TL-557,010,Arlington Blvd @ Jeffersonian Apts,,38.0508014300,-78.5080894110,,0,
TL-558,063,Massie Rd @ Law School,,38.0520250000,-78.5101840000,,0,
TL-559,060,Massie Rd @ Faulkner Apts (Southbound),,38.0480288668,-78.5122346994,,0,
TL-560,099,Massie Rd @ North Grounds Rec (Southbound),,38.0507535000,-78.5125531000,,0,
TL-561,105,Massie Rd @ JPJ South Lot,,38.0458330000,-78.5086480000,,0,
TL-653,,McCormick Rd @ UVA Chapel,,38.0362660389,-78.5047036181,,0,
TL-654,,Rugby Rd @ Lambeth Ln (Northbound),,38.0402640000,-78.5013130000,,0,
TL-655,,Grady Ave @ 16th St,,38.0408250000,-78.4981870000,,0,
TL-656,,Madison Ave @ Grady Ave,,38.0404310000,-78.4960280000,,0,
TL-657,,Madison Ave @ Preston Ave,,38.0417850000,-78.4931860000,,0,
TL-658,,Preston Ave @ Washington Park,,38.0395900000,-78.4916350000,,0,
TL-659,,Grady Ave @ 10 ½ St,,38.0388060000,-78.4924140000,,0,
TL-660,,Grady Ave @ 14th St,,38.0401590000,-78.4960890000,,0,
TL-661,,14th Street @ Virginia Ave,,38.0376410000,-78.4977550000,,0,
TL-662,,14th Street @ Wertland St (Southbound),,38.0345420000,-78.4993840000,,0,
TL-663,,Jefferson Park Ave @ West Complex,,38.0325750931,-78.5004474640,,0,
TL-664,,Jefferson Park Ave @ Cabell Hall,,38.0321260000,-78.5040690000,,0,
TL-665,,Jefferson Park Ave @ Montebello Circle,,38.0287839850,-78.5098208221,,0,
TL-666,,Jefferson Park Ave @ Shamrock Rd (Southbound),,38.0276420000,-78.5115480000,,0,
TL-667,,Jefferson Park Ave @ Maury Ave,,38.0261070000,-78.5145560000,,0,
TL-668,,Maury Ave @ Clark Ct,,38.0270545318,-78.5158914328,,0,
TL-670,,Alderman Rd @ AFC,,38.0339340000,-78.5141170000,,0,
TL-671,,McCormick Rd @ Chemistry Building,,38.0341703166,-78.5116969103,,0,
TL-672,,McCormick Rd @ Garrett Hall,,38.0342971846,-78.5060574810,,0,
TL-674,,Alderman Rd @ Gooch/Dillard (Northbound),,38.0290330000,-78.5163880000,,0,
TL-675,,Madison Ave @ Preston Ave,,38.0417850000,-78.4931860000,,0,
TL-676,,Preston Ave @ Washington Park,,38.0395900000,-78.4916350000,,0,
TL-677,,Grady Ave @ 10 ½ St,,38.0388060000,-78.4924140000,,0,
TL-678,,Grady Ave @ 14th St,,38.0401590000,-78.4960890000,,0,
TL-679,,14th Street @ Virginia Ave,,38.0376410000,-78.4977550000,,0,
TL-680,,14th Street @ Wertland St (Southbound),,38.0345420000,-78.4993840000,,0,
TL-681,,Jefferson Park Ave @ West Complex,,38.0325750931,-78.5004474640,,0,
TL-682,,Jefferson Park Ave @ Cabell Hall,,38.0321260000,-78.5040690000,,0,
TL-683,,Jefferson Park Ave @ Montebello Circle,,38.0287839850,-78.5098208221,,0,
TL-684,,Jefferson Park Ave @ Shamrock Rd (Southbound),,38.0276420000,-78.5115480000,,0,
TL-685,,Jefferson Park Ave @ Maury Ave,,38.0261070000,-78.5145560000,,0,
TL-686,,Maury Ave @ Clark Ct,,38.0270545318,-78.5158914328,,0,
TL-687,,Alderman Rd @ Gooch/Dillard (Northbound),,38.0290330000,-78.5163880000,,0,
TL-688,,Carl Smith Way @ Scott Stadium,,38.0321529368,-78.5128796432,,0,
TL-689,,Stadium Rd @ Stadium Garage,,38.0300414000,-78.5122195000,,0,
TL-690,,Stadium Rd @ Alderman Rd,,38.0287197265,-78.5163863250,,0,
TL-691,,Jefferson Park Ave @ Observatory Ave,,38.0264060000,-78.5133130000,,0,
TL-692,,Jefferson Park Ave @ Shamrock Rd (Northbound),,38.0277014054,-78.5109978601,,0,
TL-693,,Jefferson Park Ave @ Kent Terrace,,38.0286274210,-78.5096342012,,0,
TL-694,,Jefferson Park Ave @ Valley Rd,,38.0310093801,-78.5080861080,,0,
TL-695,,Jefferson Park Ave @ Brandon Ave,,38.0320230000,-78.5033140000,,0,
TL-696,,Jefferson Park Ave @ Pinn Hall,,38.0323180000,-78.5008440000,,0,
TL-697,,14th Street @ Wertland St (Northbound),,38.0346050000,-78.4992560000,,0,
TL-698,,14th Street @ John St,,38.0373740000,-78.4978050000,,0,
TL-699,,Madison Ave @ Grady Ave,,38.0404310000,-78.4960280000,,0,
TL-700,,Madison Ave @ Preston Ave,,38.0417850000,-78.4931860000,,0,
TL-701,,Preston Ave @ Washington Park,,38.0395900000,-78.4916350000,,0,
TL-702,,Grady Ave @ 10 ½ St,,38.0388060000,-78.4924140000,,0,
TL-703,,Grady Ave @ 14th St,,38.0401590000,-78.4960890000,,0,
TL-704,,Grady Ave @ Preston Pl,,38.0410640000,-78.4986360000,,0,
TL-705,,Rugby Rd @ Lambeth Ln (Southbound),,38.0403380000,-78.5013840000,,0,
TL-706,,McCormick Rd @ Shannon Library,,38.0355460000,-78.5052950000,,0,
TL-707,,McCormick Rd @ Monroe Hall,,38.0343808400,-78.5061534957,,0,
TL-708,,McCormick Rd @ McCormick Rd Dorms,,38.0344299928,-78.5117900079,,0,
TL-709,,Alderman Rd @ O-Hill Dining Hall,,38.0339370000,-78.5142400000,,0,
TL-710,,Alderman Rd @ Gooch/Dillard (Southbound),,38.0293050000,-78.5164140000,,0,
TL-711,,Jefferson Park Ave @ Observatory Ave,,38.0264060000,-78.5133130000,,0,
TL-712,,Jefferson Park Ave @ Shamrock Rd (Northbound),,38.0277014054,-78.5109978601,,0,
TL-713,,Jefferson Park Ave @ Kent Terrace,,38.0286274210,-78.5096342012,,0,
TL-714,,Jefferson Park Ave @ Valley Rd,,38.0310093801,-78.5080861080,,0,
TL-715,,Jefferson Park Ave @ Brandon Ave,,38.0320230000,-78.5033140000,,0,
TL-716,,Jefferson Park Ave @ Pinn Hall,,38.0323180000,-78.5008440000,,0,
TL-717,,14th Street @ Wertland St (Northbound),,38.0346050000,-78.4992560000,,0,
TL-718,,14th Street @ John St,,38.0373740000,-78.4978050000,,0,
TL-719,,Madison Ave @ Grady Ave,,38.0404310000,-78.4960280000,,0,
TL-720,,Massie Rd @ JPJ South Lot,,38.0458330000,-78.5086480000,,0,
TL-721,,Emmet St @ Goodwin Bridge (Southbound),,38.0432790000,-78.5055730000,,0,
TL-722,,Emmet St @ Emmet / Ivy Garage (Southbound),,38.0411390000,-78.5063610000,,0,
TL-723,,Emmet St @ Alumni Hall,,38.0383480000,-78.5073020000,,0,
TL-724,,Emmet St @ Contemplative Commons,,38.0354852500,-78.5083237300,,0,
TL-725,,Jefferson Park Ave @ Brandon Ave,,38.0320230000,-78.5033140000,,0,
TL-726,,Jefferson Park Ave @ Pinn Hall,,38.0323180000,-78.5008440000,,0,
TL-727,,University Ave @ Madison Hall,,38.0366256118,-78.5028022238,,0,
TL-728,,University Ave @ Newcomb Rd (Westbound),,38.0373330000,-78.5047220000,,0,
TL-729,,Ivy Rd @ Emmet / Ivy Garage (EIG),,38.0414010000,-78.5092240000,,0,
TL-730,,McCormick Rd @ Shannon Library,,38.0355460000,-78.5052950000,,0,
TL-731,,McCormick Rd @ Monroe Hall,,38.0343808400,-78.5061534957,,0,
TL-732,,McCormick Rd @ McCormick Rd Dorms,,38.0344299928,-78.5117900079,,0,
TL-733,,McCormick Rd @ Lile-Maupin House (Westbound),,38.0351950011,-78.5155971628,,0,
TL-734,,Hereford Dr @ Johnson House (Southbound),,38.0305599840,-78.5196665720,,0,
TL-735,,Hereford Dr @ Runk Dining Hall,,38.0294519646,-78.5195046086,,0,
TL-736,,Maury Ave (Southbound),,38.0281204496,-78.5165663984,,0,
TL-737,,Jefferson Park Ave @ Observatory Ave,,38.0264060000,-78.5133130000,,0,
TL-738,,Jefferson Park Ave @ Shamrock Rd (Northbound),,38.0277014054,-78.5109978601,,0,
TL-739,,Jefferson Park Ave @ Kent Terrace,,38.0286274210,-78.5096342012,,0,
TL-740,,Jefferson Park Ave @ Valley Rd,,38.0310093801,-78.5080861080,,0,
TL-741,,Jefferson Park Ave @ Brandon Ave,,38.0320230000,-78.5033140000,,0,
TL-742,,Jefferson Park Ave @ Pinn Hall,,38.0323180000,-78.5008440000,,0,
TL-743,,University Ave @ Madison Hall,,38.0366256118,-78.5028022238,,0,
TL-744,,Massie Rd @ JPJ South Lot,,38.0458330000,-78.5086480000,,0,
TL-745,,Carl Smith Way @ Scott Stadium,,38.0321529368,-78.5128796432,,0,
TL-746,,North Grounds Parking (D3 & The Park),,38.0528330000,-78.5074370000,,0,
TL-747,,Carl Smith Way @ Scott Stadium,,38.0321529368,-78.5128796432,,0,
TL-748,,Fontaine Research Park Parking Garage,,38.0257186352,-78.5268881904,,0,
TL-749,,Scott Stadium West Gate,,38.0311080000,-78.5153220000,,0,
TL-750,,Carl Smith Way @ Scott Stadium,,38.0321529368,-78.5128796432,,0,
TL-751,,Copeley Rd @ JPJ South Lot,,38.0456900000,-78.5101060000,,0,
TL-752,,Darden Blvd @ Darden School of Business,,38.0523790000,-78.5139220000,,0,
TL-753,,North Grounds Parking (D3 & The Park),,38.0528330000,-78.5074370000,,0,
TL-814,,Hereford Dr @ Runk Dining Hall,,38.0294519646,-78.5195046086,,0,
TL-815,,Hereford Dr @ Johnson House (Northbound),,38.0305050000,-78.5195910000,,0,
TL-816,,McCormick Rd @ Kellogg House,,38.0338320000,-78.5177660000,,0,
TL-817,,McCormick Rd @ Lile-Maupin House (Eastbound),,38.0350264820,-78.5160921080,,0,
TL-818,,McCormick Rd @ Chemistry Building,,38.0341703166,-78.5116969103,,0,
TL-819,,McCormick Rd @ Garrett Hall,,38.0342971846,-78.5060574810,,0,
TL-820,,McCormick Rd @ UVA Chapel,,38.0362660389,-78.5047036181,,0,
TL-821,,University Ave @ Newcomb Rd (Westbound),,38.0373330000,-78.5047220000,,0,
TL-822,,Emmet St @ Emmet / Ivy Garage (Northbound),,38.0411119508,-78.5061281919,,0,
TL-823,,Emmet St @ Goodwin Bridge (Northbound),,38.0432460000,-78.5053730000,,0,
TL-824,,Massie Rd @ JPJ (West Entrance),,38.0456128787,-78.5077582509,,0,
TL-825,,Massie Rd @ Faulkner Apts (Northbound),,38.0481340000,-78.5120500000,,0,
TL-826,,Massie Rd @ North Grounds Rec (Northbound),,38.0506433000,-78.5124984000,,0,
TL-827,,Massie Rd @ Copeley Apts,,38.0518970000,-78.5097970000,,0,
TL-828,,Arlington Blvd @ Millmont St,,38.0493720000,-78.5063360000,,0,
TL-829,,Arlington Blvd @ Barracks Road Shopping Center,,38.0487960000,-78.5052190000,,0,
TL-830,,Arlington Blvd @ Jeffersonian Apts,,38.0508014300,-78.5080894110,,0,
TL-831,,Massie Rd @ Law School,,38.0520250000,-78.5101840000,,0,
TL-832,,Massie Rd @ North Grounds Rec (Southbound),,38.0507535000,-78.5125531000,,0,
TL-833,,Massie Rd @ Faulkner Apts (Southbound),,38.0480288668,-78.5122346994,,0,
TL-834,,Massie Rd @ JPJ South Lot,,38.0458330000,-78.5086480000,,0,
TL-835,,Emmet St @ Goodwin Bridge (Southbound),,38.0432790000,-78.5055730000,,0,
TL-836,,Emmet St @ Emmet / Ivy Garage (Southbound),,38.0411390000,-78.5063610000,,0,
TL-837,,University Ave @ Newcomb Rd (Eastbound),,38.0374646750,-78.5050940290,,0,
TL-838,,McCormick Rd @ Shannon Library,,38.0355460000,-78.5052950000,,0,
TL-839,,McCormick Rd @ Monroe Hall,,38.0343808400,-78.5061534957,,0,
TL-840,,McCormick Rd @ McCormick Rd Dorms,,38.0344299928,-78.5117900079,,0,
TL-841,,Alderman Rd @ O-Hill Dining Hall,,38.0339370000,-78.5142400000,,0,
TL-843,,Alderman Rd @ Gooch/Dillard (Southbound),,38.0293050000,-78.5164140000,,0,
TL-844,,Stadium Rd @ Runk Dining Hall,,38.0285982000,-78.5182733000,,0,
TL-845,,Scott Stadium West Gate,,38.0311080000,-78.5153220000,,0,
TL-846,,Scott Stadium West Gate,,38.0311080000,-78.5153220000,,0,
TL-847,,Carl Smith Way @ Scott Stadium,,38.0321529368,-78.5128796432,,0,
TL-849,,Fontaine Research Park (Building 515),,38.0242402454,-78.5254188083,,0,
TL-850,,Scott Stadium West Gate,,38.0311080000,-78.5153220000,,0,
TL-874,,Hereford Dr @ Runk Dining Hall,,38.0294519646,-78.5195046086,,0,
TL-875,,Hereford Dr @ Johnson House (Northbound),,38.0305050000,-78.5195910000,,0,
TL-876,,McCormick Rd @ Kellogg House,,38.0338320000,-78.5177660000,,0,
TL-877,,McCormick Rd @ Lile-Maupin House (Eastbound),,38.0350264820,-78.5160921080,,0,
TL-878,,Alderman Rd @ O-Hill Dining Hall,,38.0339370000,-78.5142400000,,0,
TL-879,,McCormick Rd @ Chemistry Building,,38.0341703166,-78.5116969103,,0,
TL-880,,Emmet St @ Central Grounds Garage,,38.0360230646,-78.5079176675,,0,
TL-881,,Emmet St @ Snyder Tennis Courts,,38.0383266667,-78.5070656240,,0,
TL-882,,Emmet St @ Emmet / Ivy Garage (Northbound),,38.0411119508,-78.5061281919,,0,
TL-883,,Emmet St @ Goodwin Bridge (Northbound),,38.0432460000,-78.5053730000,,0,
TL-884,,Massie Rd @ JPJ (West Entrance),,38.0456128787,-78.5077582509,,0,
TL-885,,Massie Rd @ Faulkner Apts (Northbound),,38.0481340000,-78.5120500000,,0,
TL-886,,Massie Rd @ North Grounds Rec (Northbound),,38.0506433000,-78.5124984000,,0,
TL-887,,Massie Rd @ Copeley Apts,,38.0518970000,-78.5097970000,,0,
TL-888,,Arlington Blvd @ Millmont St,,38.0493720000,-78.5063360000,,0,
TL-889,,Arlington Blvd @ Barracks Road Shopping Center,,38.0487960000,-78.5052190000,,0,
TL-890,,Arlington Blvd @ Jeffersonian Apts,,38.0508014300,-78.5080894110,,0,
TL-891,,Massie Rd @ Law School,,38.0520250000,-78.5101840000,,0,
TL-892,,Massie Rd @ North Grounds Rec (Southbound),,38.0507535000,-78.5125531000,,0,
TL-893,,Massie Rd @ Faulkner Apts (Southbound),,38.0480288668,-78.5122346994,,0,
TL-894,,Massie Rd @ JPJ South Lot,,38.0458330000,-78.5086480000,,0,
TL-895,,Emmet St @ Goodwin Bridge (Southbound),,38.0432790000,-78.5055730000,,0,
TL-896,,Emmet St @ Emmet / Ivy Garage (Southbound),,38.0411390000,-78.5063610000,,0,
TL-897,,Emmet St @ Alumni Hall,,38.0383480000,-78.5073020000,,0,
TL-898,,Emmet St @ Contemplative Commons,,38.0354852500,-78.5083237300,,0,
