route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
TL-11,TL-37,TL-1343,,,,Training,
TL-11,TL-37,TL-1344,,,,Training,
TL-11,TL-37,TL-1345,,,,Training,
TL-2,TL-37,TL-1338,,,,Charter,
TL-2,TL-37,TL-1339,,,,Charter,
TL-2,TL-37,TL-1340,,,,Charter,
TL-2,TL-37,TL-1341,,,,Charter,
TL-2,TL-37,TL-1342,,,,Charter,
TL-38,TL-42,TL-1389,,,,UTS Test Rte,TL-38
TL-58,TL-48,TL-1429,,,,[13],TL-58
TL-58,TL-48,TL-1430,,,,[14],TL-58
TL-53,TL-57,TL-1620,,,,[05] Recess,TL-53
TL-53,TL-57,TL-1621,,,,[07] Recess,TL-53
TL-54,TL-57,TL-1618,,,,[01] Recess,TL-54
TL-54,TL-57,TL-1619,,,,[02] Recess,TL-54
TL-55,TL-57,TL-1622,,,,[05] Recess,TL-55
TL-55,TL-57,TL-1623,,,,[07] Recess,TL-55
TL-57,TL-57,TL-1624,,,,[09] Recess,TL-57
TL-57,TL-57,TL-1625,,,,[11] Recess,TL-57
TL-66,TL-57,TL-1616,,,,[01] Recess,TL-66
TL-66,TL-57,TL-1617,,,,[02] Recess,TL-66
TL-72,TL-60,TL-1699,,,,[17]/[10],TL-72
TL-72,TL-60,TL-1700,,,,[18] AM,TL-72
TL-72,TL-60,TL-1702,,,,[20],TL-72
TL-72,TL-60,TL-1703,,,,[21],TL-72
TL-72,TL-60,TL-1704,,,,[22] AM,TL-72
TL-72,TL-60,TL-1705,,,,[23],TL-72
TL-72,TL-60,TL-1728,,,,[19]/[06],TL-72
TL-73,TL-60,TL-1713,,,,[17] PM,TL-73
TL-73,TL-60,TL-1714,,,,[18] PM,TL-73
TL-73,TL-60,TL-1715,,,,[19] PM,TL-73
TL-73,TL-60,TL-1716,,,,[20],TL-73
TL-73,TL-60,TL-1717,,,,[21],TL-73
TL-73,TL-60,TL-1718,,,,[22] PM,TL-73
TL-73,TL-60,TL-1719,,,,[23],TL-73
TL-73,TL-60,TL-1720,,,,[24] PM,TL-73
TL-73,TL-60,TL-1721,,,,[25] PM,TL-73
TL-74,TL-60,TL-1706,,,,[17]/[10],TL-74
TL-74,TL-60,TL-1707,,,,[18] AM,TL-74
TL-74,TL-60,TL-1709,,,,[20],TL-74
TL-74,TL-60,TL-1710,,,,[21],TL-74
TL-74,TL-60,TL-1711,,,,[22] AM,TL-74
TL-74,TL-60,TL-1712,,,,[23],TL-74
TL-74,TL-60,TL-1729,,,,[19]/[06],TL-74
